maj_foreign,maj_race,pct_publictrans,time_travel_workE,med_incomeE,avg_travel_time
FALSE,white,0,87095,34315,27.535567499209613
FALSE,white,0,66405,49754,23.97292418772563
FALSE,white,0.012960893854748603,90935,24936,20.32067039106145
FALSE,no_majority,0.07240038872691934,44545,21250,21.64480077745384
FALSE,hs_latino,0.045535714285714284,18015,13627,16.084821428571427
FALSE,white,0.004997501249375313,45180,34885,22.57871064467766
FALSE,no_majority,0.04355300859598854,38455,21546,22.03724928366762
FALSE,white,0,31640,40426,23.437037037037037
FALSE,white,0.043374452845204935,81520,40765,32.43931555909272
FALSE,white,0.012134189864382585,113840,53034,27.085415179633596
FALSE,white,0.017791732077446363,50455,44519,26.40240711669283
FALSE,white,0.011517165005537098,139575,55554,30.91362126245847
FALSE,white,0,85015,36315,24.45771001150748
FALSE,white,0,80280,33583,25.87173702868192
FALSE,white,0.005600497822028625,41925,29841,26.088985687616677
FALSE,white,0.01898047722342733,38785,27059,21.033080260303688
FALSE,white,0,54965,32628,25.600838379133673
FALSE,white,0,60870,33385,23.72174590802806
FALSE,white,0.05100463678516229,7475,3316,11.553323029366306
FALSE,white,0.02208927749654855,61190,40609,28.159226875287622
FALSE,white,0,48835,41058,27.04042081949059
FALSE,white,0.001763668430335097,52455,42694,23.12830687830688
FALSE,white,0.03968938740293356,122420,49968,26.406384814495254
FALSE,white,0.005981703026038001,87115,40396,30.65270935960591
FALSE,white,0.007856341189674524,51265,37281,28.7682379349046
FALSE,white,0.02171985815602837,49125,35411,21.77526595744681
FALSE,white,0.010109289617486339,87745,26964,23.974043715846996
FALSE,white,0.02600780234070221,42615,27889,27.708062418725618
FALSE,white,0,34900,27759,21.267519804996954
FALSE,white,0.010727611940298507,52460,31048,24.46828358208955
FALSE,white,0.008871214438666258,90650,29509,27.73019271948608
FALSE,white,0,63130,47056,23.433556050482554
FALSE,white,0.004166666666666667,30790,38750,25.658333333333335
FALSE,white,0.01406926406926407,60910,31206,21.973304473304474
FALSE,white,0.02536640360766629,92130,41169,25.96674182638106
FALSE,white,0.009361233480176211,95105,33970,26.185297356828194
FALSE,white,0.015473887814313346,121690,40071,29.422147001934235
FALSE,white,0.010055304172951232,116475,31791,29.27978883861237
FALSE,white,0,42525,20797,22.229482488238368
FALSE,white,0.024888888888888887,23315,43245,20.724444444444444
FALSE,white,0.0128130460104834,48205,39435,28.075131042516016
FALSE,no_majority,0.06159420289855073,41635,26114,21.550207039337476
FALSE,white,0.016159695817490494,57290,34357,27.229087452471482
FALSE,white,0.015741507870753936,48770,23750,20.2029826014913
FALSE,white,0.024486226497595104,48105,32304,21.034105815478792
FALSE,white,0.02630453378956373,140535,50015,30.05453378956373
FALSE,white,0.0038284839203675345,35480,39347,27.166921898928024
FALSE,white,0.023185483870967742,24925,19051,25.126008064516128
FALSE,white,0.053979871912168347,25815,25222,23.618481244281792
FALSE,white,0.03115781710914454,160175,48425,29.530789085545724
FALSE,white,0.006168359941944848,50425,30110,18.29644412191582
